area,counts,coordinates,lat,lon
Worcestershire,1,52.2109495 -2.1569555,52.2109495,-2.1569555
Inner Islands,1,60.3871177 -0.9130109,60.3871177,-0.9130109
New Mexico,1,34.5708167 -105.993007,34.5708167,-105.993007
Wakayama Prefecture,1,33.8070292 135.5930743,33.8070292,135.5930743
Simpson Bay,1,18.0396777 -63.0972367,18.0396777,-63.0972367
Eastern Cape  Province,1,-33.8048865 25.6333056,-33.8048865,25.6333056
Ralik Chain,1,11.1166389 166.483762,11.1166389,166.483762
Easter Ross,1,28.854037 -81.779297,28.854037,-81.779297
Kent,1,51.2070748 0.7210362,51.2070748,0.7210362
Merizo,1,13.2682975 144.6726106,13.2682975,144.6726106
Fife,1,56.3333331 -3.0000001,56.3333331,-3.0000001
Bocas,1,20.8645263 -100.6263006,20.8645263,-100.6263006
Baatan,1,,,
L' Etang Salé-les-Bains,1,-21.2718029 55.3352669,-21.2718029,55.3352669
Alaska,1,64.4459613 -149.680909,64.4459613,-149.680909
Le Port,1,42.8662832 1.3740316,42.8662832,1.3740316
Phuket,1,7.9366015 98.3529292,7.9366015,98.3529292
600 nm west of the Canary Islands,1,28.0 -15.5,28.0,-15.5
Phang nga Province,1,8.4439925 98.5270295,8.4439925,98.5270295
Mombasa,1,-4.05052 39.667169,-4.05052,39.667169
Wallis and Futuna,1,-14.301905 -178.0899734,-14.301905,-178.0899734
Fujairah Emirate,1,25.4519425 56.3563935,25.4519425,56.3563935
Saint Leu,1,-21.1677694 55.2881932,-21.1677694,55.2881932
US Virgin Islands,1,18.4024395 -64.5661642,18.4024395,-64.5661642
Castellón,1,40.2518568 -0.0615051,40.2518568,-0.0615051
Trois-Bassins,1,-21.1033695 55.2703398,-21.1033695,55.2703398
Cap Vert Peninsula,1,14.7453714 -17.5238423,14.7453714,-17.5238423
Santa Catarina State,1,-27.0628367 -51.114965,-27.0628367,-51.114965
Marches region,1,-22.2729161 -54.172056,-22.2729161,-54.172056
North Region,1,-4.2112672 -58.6507168,-4.2112672,-58.6507168
South Carolina ,1,33.6874388 -80.4363743,33.6874388,-80.4363743
Rocha,1,-34.0 -54.0,-34.0,-54.0
Ha'api ,1,,,
North Devon,1,51.061456 -3.9239233,51.061456,-3.9239233
Jeju Province,1,33.3939924 126.5626653,33.3939924,126.5626653
Inner Hebrides,1,56.5 -6.0,56.5,-6.0
Kentucky,1,37.5726028 -85.1551411,37.5726028,-85.1551411
Marquesas,1,-9.7311647 -138.9787471,-9.7311647,-138.9787471
Mercury Islands,1,-36.62302 175.9330593,-36.62302,175.9330593
Northlands,1,53.060881 0.0086449,53.060881,0.0086449
Territory of Cocos (Keeling) Islands,1,-12.0728315 96.8409375,-12.0728315,96.8409375
Bois-Blanc ,1,-21.1970506 55.8194011,-21.1970506,55.8194011
" Split-Dalmatia Count,",1,,,
Alagoas,1,-9.6611661 -36.6502426,-9.6611661,-36.6502426
Tamil Nadu,1,10.9094334 78.3665347,10.9094334,78.3665347
Granada,1,37.183054 -3.6021928,37.183054,-3.6021928
Shanghai,1,31.2322758 121.4692071,31.2322758,121.4692071
Ambergris Caye,1,17.9520667 -87.9709092,17.9520667,-87.9709092
Bay of Biscay,1,45.6250544 -3.659284,45.6250544,-3.659284
Kedah,1,5.8098265 100.6715035,5.8098265,100.6715035
Batanes Provine,1,,,
Grand Cayman,1,19.3298691 -81.1712291,19.3298691,-81.1712291
Santa Cruz Island,1,34.0184636 -119.7751009,34.0184636,-119.7751009
Camaguey Province,1,21.3791765 -77.9183681,21.3791765,-77.9183681
East New Britain,1,-5.1386278 151.9020187,-5.1386278,151.9020187
Central Province,1,7.381949 80.723428,7.381949,80.723428
Great Exuma,1,36.223089 -81.7761012,36.223089,-81.7761012
Tabasco,1,17.9507864 -92.4831221,17.9507864,-92.4831221
Caroline Islands,1,8.0 147.0,8.0,147.0
KwaZulu-Natal between Port Edward and Port St Johns,1,-31.53613 29.42128,-31.53613,29.42128
Sussex,1,50.9445139 -0.0622673,50.9445139,-0.0622673
New Providence ,1,25.0302511 -77.3960341,25.0302511,-77.3960341
Washington,1,38.8949924 -77.0365581,38.8949924,-77.0365581
Pearl Islands,1,8.3480622 -78.896185,8.3480622,-78.896185
Rayong Province,1,12.7943716 101.3705344,12.7943716,101.3705344
"Boi Island, Victoria",1,-20.3105442 -40.2807253,-20.3105442,-40.2807253
Central Tuamotu,1,-18.7963088 -141.5839778,-18.7963088,-141.5839778
Luzon Island,1,15.5919633 120.7397903,15.5919633,120.7397903
Saint-Andre,1,43.273316 0.8514079,43.273316,0.8514079
Okinawa Prefecture,1,26.5707754 128.0255901,26.5707754,128.0255901
New Providence,1,25.0302511 -77.3960341,25.0302511,-77.3960341
New Brunswick,1,46.500283 -66.750183,46.500283,-66.750183
Tokyo Bay,1,47.8114591 13.0305256,47.8114591,13.0305256
Altagracia Province,1,-14.29657 -70.2787481,-14.29657,-70.2787481
"South Island, near Karitane north of Dunedin",1,,,
Moray,1,57.416667 -3.25,57.416667,-3.25
Alicante Province,1,38.353738 -0.4901846,38.353738,-0.4901846
British Colombia,1,55.001251 -125.002441,55.001251,-125.002441
Adriatic Sea,1,42.7735486 15.233361,42.7735486,15.233361
Primorsky Krai,1,45.0819456 134.726645,45.0819456,134.726645
Rangiroa,1,-15.1209131 -147.6954518,-15.1209131,-147.6954518
Off the western coast of peninsular Malaysia,1,4.0 102.0,4.0,102.0
San Carlos,1,37.504936 -122.2618236,37.504936,-122.2618236
Transvaal,1,45.7396835 4.8782324,45.7396835,4.8782324
Luzon,1,15.5919633 120.7397903,15.5919633,120.7397903
Saint-Paul,1,44.9504037 -93.1015026,44.9504037,-93.1015026
East Wall,1,53.3540688 -6.233519,53.3540688,-6.233519
Antofagasta Province,1,-34.669358 -58.3496137,-34.669358,-58.3496137
Balneário Camboriú,1,-26.9924395 -48.6339782,-26.9924395,-48.6339782
Suez,1,29.974498 32.537086,29.974498,32.537086
Zamboanga del Sur Province,1,,,
740 miles SE of Tarawa Atoll,1,1.419 172.985,1.419,172.985
Makira-Ulawa Province,1,-10.6100582 161.8578398,-10.6100582,161.8578398
Marovo Lagoon,1,-8.44353 157.91556,-8.44353,157.91556
Delta,1,33.3926893 -95.6749486,33.3926893,-95.6749486
Cook islans,1,,,
Bimini,1,23.6910625 -79.9433552,23.6910625,-79.9433552
South Devon,1,45.9624372 -66.622476,45.9624372,-66.622476
Atsumi peninsula,1,34.65919 137.24155,34.65919,137.24155
Moorea,1,-17.533306 -149.8386006,-17.533306,-149.8386006
Maine,1,45.709097 -68.8590201,45.709097,-68.8590201
Grand Terre,1,43.7865561 4.232883,43.7865561,4.232883
Guam,1,13.4501257 144.757551,13.4501257,144.757551
Berry Islands,1,25.5905 -77.7261006,25.5905,-77.7261006
St John's,1,47.561701 -52.715149,47.561701,-52.715149
Off Green Island,1,42.257058 -71.797981,42.257058,-71.797981
Miyako Island,1,39.6413102 141.9571523,39.6413102,141.9571523
Bay Islands,1,16.3217674 -86.1786833,16.3217674,-86.1786833
Anjouan,1,-12.2265681 44.4107049,-12.2265681,44.4107049
Providenciales,1,21.8020614 -72.3004456,21.8020614,-72.3004456
Southern Japan,1,35.6375314 139.3326058,35.6375314,139.3326058
300 miles from Antigua,1,28.35436 -13.91724,28.35436,-13.91724
Cikobia Island (north of Vanua Levu),1,65.0 -18.0,65.0,-18.0
Pamplemousses ,1,-20.0983185 57.5739056,-20.0983185,57.5739056
